nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,likelihood_quadrature,likelihood_ghk,likelihood_ghk_pseudo,likelihood_accept_reject,likelihood_accept_reject_pseudo
200395,1028.7492580645162,0.38,2013,0.32,3.809999994933605,0.99,0.5,2,2,3.0,0.0,2.0,2.0,6.54,5.95,6.26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09515246012445747,0.09750605614502984,0.09481116069150124,0.1,0.12
203252,3025.065165876777,0.21,2013,-1.5,4.319999992847443,0.64,0.25,2,1,4.0,0.0,1.0,2.0,7.7,7.54,6.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2.82,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1498645067729138,0.14032021813431172,0.14463420424942597,0.15,0.08
202535,1905.339552238806,0.33,2013,-0.1,3.3499999940395355,1.0,0.25,2,2,4.0,1.0,1.0,1.0,7.39,7.6,7.81,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11399802354010828,0.11746642181226799,0.12136317435218595,0.12,0.09
203726,1706.6544117647056,0.25,2013,-0.58,4.459999993443489,0.89,0.5,2,1,4.0,0.0,1.0,1.0,7.68,7.43,7.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,3.8799999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11942610659832516,0.12098078942226438,0.12503447764990494,0.13,0.08
201898,1028.7492580645162,0.66,2013,0.21,3.4199999943375587,0.43,0.25,2,2,4.0,1.0,1.0,1.0,7.06,7.12,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,3.6299999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10811022366988908,0.11640713695254394,0.12050295734440095,0.12,0.1
203631,1028.7492580645162,0.67,2013,0.48,3.399999998509884,0.43,0.5,2,2,3.0,0.0,3.0,1.0,7.93,7.68,7.85,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,3.88,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09994252286148853,0.10244757820345862,0.10174832022910912,0.11,0.11
200621,1905.339552238806,0.38,2013,0.59,3.5399999991059303,0.92,0.25,2,2,4.0,1.0,1.0,1.0,6.88,7.37,7.97,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10902725520236388,0.11678931317302102,0.12076508913319349,0.12,0.09
202860,1706.6544117647056,0.44,2013,0.06,3.5699999928474426,0.66,0.5,2,2,4.0,0.0,2.0,1.0,6.76,6.86,6.84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3.6299999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.14694059345451968,0.14814587350124003,0.1530234847228919,0.17,0.1
203372,1437.5872747747746,0.61,2013,0.06,3.3199999928474426,0.73,0.25,2,2,4.0,1.0,3.0,1.0,7.05,7.53,7.84,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,3.3799999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11305576459902418,0.11849450012079946,0.12243962155846062,0.12,0.09
201756,1028.7492580645162,0.43,2013,1.5,3.4199999943375587,0.8,0.25,2,2,2.0,0.0,1.0,1.0,7.21,6.66,7.11,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,4.92,3.895689,3.8419178,3.6166666,1.0,0.0,1.0,0.05679358673096197,0.04962921716265556,0.04669537436299971,0.04,0.1
